stoupacka,vyuziti,poznamka
1,'hlavni uzaver','plast, pristup vjezd'
2,'hlavni privod','plast, pristup sklep byt 3'
3,'voda','plast, vymena cerven 2026'
4,'voda','plast, nova pripojka asi 2021'
5,'voda','plast 2021 po strop byt 1, pak olovo'
6,'voda','olovo'
7,'voda','plast'
8,'voda','olovo'
9,'voda','olovo'
10,'voda','olovo'
